leftTarget,rightTarget,leftAccel,rightAccel,leftVel,rightVel
0,0,0,0,0,-0
1.74409,2.37571,174.409,237.571,0,-0
2.46535,3.36176,72.1254,98.6054,0,1.59109
3.17958,4.342,71.4236,98.0235,3.34056,6.20595
3.89493,5.32866,71.5343,98.6663,5.5724,8.3298
4.60796,6.3183,71.3028,98.9636,6.19156,10.1657
5.31694,7.30981,70.8985,99.1507,5.96117,11.1448
6.0205,8.3026,70.3559,99.2792,6.47953,12.1887
6.71717,9.29604,69.6673,99.3441,7.20668,13.1175
7.40621,10.2905,68.9034,99.45,8.45219,14.2478
8.08612,11.2856,67.9908,99.5027,8.92016,14.8669
8.75569,12.2811,66.9572,99.5497,9.92089,15.8245
9.41368,13.277,65.7995,99.5963,10.7704,16.2636
10.0587,14.2733,64.4974,99.6253,11.3392,16.71
10.6892,15.2699,63.0587,99.6603,12.2967,17.7827
11.3039,16.2668,61.4637,99.6869,12.8727,19.0642
11.9009,17.2639,59.7064,99.712,13.1247,19.7482
12.4787,18.2612,57.7724,99.7316,13.7726,21.2457
13.0352,19.2587,55.6522,99.7504,14.3126,22.4984
13.5685,20.2564,53.333,99.7697,14.6653,23.1103
14.0765,21.2542,50.7954,99.7826,15.7093,23.6647
14.1279,21.5942,5.14043,34.0035,15.8965,23.2687